Aibak,Afghanistan,36.4,6.1167,14489,0
Andkhoy,Afghanistan,13.4902,79.2895,44219,0
Aqchah,Afghanistan,-13.0833,48.85,32080,0
Asadabad,Afghanistan,38.627,-9.103,28886,0
Baghlan,Afghanistan,51.8719,10.0253,9552,0
Bagrami,Afghanistan,52.2,8.8,49477,0
Bala Koh,Afghanistan,17.3333,96.4833,284179,admin
Balkh,Afghanistan,33.485,105.0034,11144,0
Bamyan,Afghanistan,41.7258,46.4083,1815,admin
Baraki,Afghanistan,36.9014,54.0736,53970,minor
Baraki Barak,Afghanistan,-23.11,-50.3678,31273,0
Bazarak,Afghanistan,38.0475,44.015,52544,minor
Bazar-e Yakawlang,Afghanistan,38.5697,38.8231,20505,minor
Charikar,Afghanistan,39.4362,53.1226,1206,0
Chichkah,Afghanistan,48.9792,2.0319,10735,0
Deh-e Shu,Afghanistan,13.7333,-89.1833,66400,0
Faizabad,Afghanistan,-23.0428,-47.3739,17085,0
Farah,Afghanistan,-30.05,30.8833,13813,0
Fayroz Koh,Afghanistan,11.6449,77.593,9946,0
Gardez,Afghanistan,-28.9833,-52.35,9550,0
Ghazni,Afghanistan,49.6856,18.3506,54188,0
Ghoriyan,Afghanistan,23.5873,116.5957,102012,0
Gudarah,Afghanistan,39.8924,-75.1172,11435,0
Haskah Menah,Afghanistan,-25.9,-48.5667,42062,0
Herat,Afghanistan,42.5619,19.8339,1673,admin
Hukumati Baghran,Afghanistan,51.7333,5.5333,29728,minor
Hukumati Gizab,Afghanistan,51.3825,5.5683,9945,minor
Imam Sahib,Afghanistan,47.1667,8.2833,9844,0
Ishkashim,Afghanistan,27.9952,103.5507,39600,0
Islam Qal`ah,Afghanistan,-9.3689,-77.2369,9700,0
Jalalabad,Afghanistan,33.65,130.6833,126136,0
Kabul,Afghanistan,42.8864,75.0822,17513,minor
Kandahar,Afghanistan,23.1704,89.2,243987,0
Karukh,Afghanistan,12.1,-85.3667,53798,admin
Khanabad,Afghanistan,34.1167,134.4,11370,0
Khost,Afghanistan,34.5667,135.7167,21145,0
Khulm,Afghanistan,10.7333,76.4,12633,0
Kotah-ye `Ashro,Afghanistan,22.5881,88.6887,9046,0
Kuhsan,Afghanistan,36.4975,36.3608,121028,minor
Kunduz,Afghanistan,26.3011,127.7931,17038,0
Kushk,Afghanistan,15.9251,-13.5242,21656,0
Lashkar Gah,Afghanistan,25.7647,87.1847,8818,0
Mahmud-e Raqi,Afghanistan,35.1038,118.3564,11018365,0
Maidan Shahr,Afghanistan,49.15,0.23,19807,minor
Maimanah,Afghanistan,33.4773,-79.1181,8908,0
Mama Khel,Afghanistan,40.1686,-105.1005,101642,0
Mazar-e Sharif,Afghanistan,24.666,87.922,16918,0
Mehtar Lam,Afghanistan,50.5,4.2333,23122,0
Nili,Afghanistan,33.8,130.5333,97041,0
Paghman,Afghanistan,40.684,-73.7077,19016,0
Panjab,Afghanistan,50.4714,17.3339,42151,minor
Parun,Afghanistan,36.2,133.3167,13595,0
Pul-e `Alam,Afghanistan,58,56.3167,1048005,admin
Pul-e Khumri,Afghanistan,40.2333,20.35,5945,0
Qal`ah-ye Now,Afghanistan,15.8084,102.6018,11593,minor
Qal`ah-ye Zal,Afghanistan,18.0258,103.7094,10357,minor
Qalat,Afghanistan,20.5411,105.9139,136654,admin
Qarqin,Afghanistan,8,124.2,30132,0
Sangin,Afghanistan,50.6053,3.0886,19437,0
Sar-e Pul,Afghanistan,50.6333,5.5333,24251,0
Sharan,Afghanistan,15.0953,-91.1508,37990,minor
Sheghnan,Afghanistan,-11.1247,-75.3569,14708,0
Shibirghan,Afghanistan,12.055,-7.7061,13382,0
Taluqan,Afghanistan,4.898,119.8213,34245,0
Tarin Kot,Afghanistan,61.9125,-6.8719,446,admin
Taywarah,Afghanistan,51.5711,8.1092,48607,minor
Tujg,Afghanistan,13.6806,8.5292,8554,0
Zarah Sharan,Afghanistan,39.9378,-0.1014,51852,0
Zaranj,Afghanistan,40.9167,14.2,31356,0
Zarghun Shahr,Afghanistan,45.6,9.3,14131,0
Bajram Curri,Albania,33.9735,73.7918,33548,minor
Belsh,Albania,-23.9017,43.7635,10000,0
Berat,Albania,36.2,5.85,14666,0
Bucimas,Albania,43.5928,-96.5799,10919,0
Burrel,Albania,40.9167,14.4167,15877,0
Corovode,Albania,19.6333,-99.0931,293444,minor
Durres,Albania,53.9875,20.3958,9629,0
Elbasan,Albania,50.3522,5.4563,11637,0
Erseke,Albania,50.7794,6.1625,15892,0
Fier,Albania,41.217,-8.55,38798,0
Fushe-Kruje,Albania,-20.8667,46.8833,16000,0
Gjirokaster,Albania,-10.85,14.3667,271843,0
Gramsh,Albania,38.75,40.556,38428,minor
Kamez,Albania,-7.9667,-36.4833,15843,0
Kavaje,Albania,11.4519,76.8061,14988,0
Korce,Albania,25.1744,86.1021,8935,0
Kruje,Albania,40.0963,-75.3821,24423,0
Kucove,Albania,53.7669,-1.3705,9785,0
Kukes,Albania,47.697,-122.2057,92015,0
Lac,Albania,55.9167,37.8167,221797,minor
Lezhe,Albania,29.3683,-94.9941,18464,0
Libonik,Albania,-33.45,-70.55,92787,0
Librazhd,Albania,-34.6394,-58.8283,47839,0
Librazhd-Qender,Albania,19.3425,-104.2878,20548,minor
Lushnje,Albania,26.5482,-13.8482,100,0
Patos,Albania,34.6379,138.1281,32422,0
Permet,Albania,10.77,76.38,53790,0
Perondi,Albania,41.3555,-88.8261,18708,0
Peshkopi,Albania,36.171,6.42,11792,0
Pogradec,Albania,25.6884,85.798,14201,0
Puke,Albania,10.6099,76.8786,8910,0
Rreshen,Albania,9.5,49.0833,365000,0
Sarande,Albania,48.9719,2.2828,20866,0
Shkoder,Albania,37.3831,-6.2,14172,0
Sukth,Albania,55.5333,89.2,33961,0
Tepelene,Albania,46.0333,-73.1167,36650,0
Tirana,Albania,52.6,8.2167,10377,0
Vlore,Albania,35.0824,137.1563,422106,0
Abadla,Algeria,31.0167,-2.7333,13636,0
Abalessa,Algeria,22.89,4.8472,9163,0
Abou el Hassan,Algeria,5.4667,-3.2,100903,minor
Adekar Kebouche,Algeria,40.7092,-80.0118,14767,0
Adrar,Algeria,46.1,27.1797,15178,0
Afir,Algeria,14.1667,38.9,85644,0
Aflou,Algeria,44.8832,39.1902,12745,minor
Ahmed Rachedi,Algeria,7.1164,0.3242,80813,0
Ahmer el 'Ain,Algeria,33.8184,-4.4106,12654,0
'Ain Abessa,Algeria,18.1398,-66.2659,8596,0
'Ain Abid,Algeria,48.6228,9.2372,9951,0
'Ain Arnat,Algeria,48.6792,8.8969,9352,0
'Ain Azel,Algeria,21.3865,-157.9232,9571,0
'Ain Babouche,Algeria,37.992,23.678,69946,minor
Ain Beida,Algeria,38.2506,22.0811,20422,minor
Ain Bessem,Algeria,-34.2,-54.75,2465,0
'Ain Boucif,Algeria,43.5675,4.1933,8685,0
Ain Defla,Algeria,10.0002,76.455,18940,0
'Ain el Arbaa,Algeria,-8.7281,125.5664,0,admin
'Ain el Assel,Algeria,-19.4958,-41.0639,25141,0
'Ain el Bell,Algeria,36.3,5.295,16770,0
Ain el Bya,Algeria,36.2325,6.944,31743,0
Ain el Hadid,Algeria,34.4833,-4.7,25417,0
Ain el Hadjar,Algeria,36.1833,5.3167,43551,0
Ain el Hadjel,Algeria,35.8433,5.5219,48487,0
'Ain el Hammam,Algeria,35.9411,7.1856,16129,0
'Ain el Melh,Algeria,31.585,-8.608,11978,0
'Ain el Turk,Algeria,36.2967,3.67,32548,0
Ain Fakroun,Algeria,35.8912,3.1585,24434,0
Ain Feka,Algeria,33.8833,-5.0333,20456,0
'Ain Fekan,Algeria,36.2652,1.9703,65453,admin
Ain Kechera,Algeria,34.35,3.2167,20436,0
Ain Kercha,Algeria,35.8167,-0.2833,32611,0
'Ain Kerma,Algeria,35.0581,0.8833,15482,0
'Ain Kihal,Algeria,36.3333,3.8,9260,0
Ain Lechiakh,Algeria,35.6739,3.8817,33046,0
'Ain Mabed,Algeria,34.8483,4.1611,39798,0
'Ain Merane,Algeria,35.9667,6.8667,48804,0
Ain M'Lila,Algeria,35.4333,3.5833,16842,0
'Ain Mouilah,Algeria,35.225,-0.0017,10573,0
'Ain Naga,Algeria,33.6372,-7.4483,62420,0
Ain Nouissy,Algeria,34.0333,-5.8,15265,0
Ain Oulmene,Algeria,34.15,-4.8314,12291,0
Ain Oussera,Algeria,34.0071,-5.6182,9738,0
'Ain Roua,Algeria,36.7483,6.4325,24572,0
Ain Sefra,Algeria,35.9167,6.7,30575,0
'Ain Taghrout,Algeria,36.5939,8.2011,12182,0
Ain Taya,Algeria,36.1569,2.4042,13196,0
Ain Tedeles,Algeria,34.1667,-4.5,11422,0
'Ain Tellout,Algeria,33.2833,-5.3833,9669,0
Ain Temouchent,Algeria,34.8,3.1333,19997,0
'Ain Tolba,Algeria,34.5,-4.55,15770,0
Ain Touta,Algeria,36.1628,0.9706,51326,0
Ain Youcef,Algeria,36.0361,6.5708,88441,0
Ain Zaouia,Algeria,34.75,3.4833,13155,0
Ait Yaich,Algeria,35.1667,136.2167,20913,0
Akbou,Algeria,25.4136,55.4456,490035,admin
Algiers,Algeria,40.6333,22.45,15906,minor
Amalou,Algeria,34.6565,-99.3061,18711,0
Ammi Moussa,Algeria,-23.45,47.2667,18000,0
Amoucha,Algeria,69.7631,61.6678,282,0
Annaba,Algeria,23.7317,85.9858,10178,0
Aomar,Algeria,-25.4,45.75,12000,0
Aougrout,Algeria,-18.85,47.4833,80360,0
Arbaoun,Algeria,40.1333,18.1333,8847,0
Arbatache,Algeria,34.9528,33.59,19199,0
Arhribs,Algeria,40.515,72.4992,32917,minor
Arris,Algeria,-18.4778,-70.3181,202131,admin
Arzew,Algeria,25.715,85.5448,10913,0
Asfour,Algeria,45.9944,29.4322,14355,minor
Assi Bou Nif,Algeria,5.8667,-0.6667,39435,0
Assi-Ben Okba,Algeria,36.7833,126.9833,332790,0
Azazga,Algeria,40.6333,-8.65,78450,admin
Azeffoun,Algeria,50.7667,3.4333,10065,0
Azzaba,Algeria,41.107,-8.551,10838,0
Bab Ezzouar,Algeria,36.5833,31.8833,15220,0
Baba Hassen,Algeria,1.9667,44.8333,119000,0
Babar,Algeria,7.05,38.4667,300100,admin
Baghlia,Algeria,51.8811,10.5622,21738,0
Baraki,Algeria,30.5567,49.1897,162797,minor
Barbacha,Algeria,13.6983,99.9068,16130,minor
Barika,Algeria,25.0143,121.4672,0,admin
Batna,Algeria,-22.47,-43.8258,92883,0
Bechar,Algeria,26.425,84.6061,11833,0
Bechloul,Algeria,41.8479,-88.3109,26355,0
Bejaia,Algeria,46.1917,100.7178,26252,admin
Bekkaria,Algeria,22.4835,88.4997,15582,0
Bel Imour,Algeria,39.8128,26.61,29716,minor
Belkheir,Algeria,-20.9494,-48.4792,77627,0
Bellaa,Algeria,31.6167,-2.2167,165627,admin
Ben 'Aknoun,Algeria,46.65,22.35,9745,0
Ben Chicao,Algeria,35.7033,111.1029,22682,0
Ben Daoud,Algeria,36.464,104.4513,36241,0
Ben Nasseur,Algeria,38.0333,-7.8833,35854,admin
Ben N'Choud,Algeria,36.7511,5.0642,176139,admin
Benairia,Algeria,-16.75,47.5667,12000,0
Benfreha,Algeria,25.5295,86.3079,12805,0
Beni Abbes,Algeria,26.59,88.589,17215,0
Beni Amrane,Algeria,12.255,77.1225,9151,0
Beni Douala,Algeria,2.6469,-75.9717,36628,minor
Beni Fouda,Algeria,-19.4,47.5167,14000,0
Beni Haoua,Algeria,-23.55,44.8,19000,0
Beni Mered,Algeria,-8.9983,13.265,500000,0
Beni Ounif,Algeria,26.2124,86.3554,11222,0
Beni Rached,Algeria,25.4477,84.6473,15789,0
Beni Saf,Algeria,-18.8333,48,10000,0
Beni Slimane,Algeria,46.0833,40.8583,16838,minor
Beni Tamou,Algeria,48.1833,40.7667,40275,minor
Bensekrane,Algeria,53.8125,36.1333,13180,minor
Benyahia Abderrahmane,Algeria,33.9801,-118.1798,33377,0
Berhoum,Algeria,42.396,-71.1795,26997,0
Berriane,Algeria,46.606,16.2328,2430,admin
Berriche,Algeria,38.8192,-94.5335,24241,0
Berrouaghia,Algeria,13.1629,75.8571,20225,0
Bettioua,Algeria,36.6167,4.0833,21551,0
Bir Ben Laabed,Algeria,25.7978,86.0736,22904,0
Bir el Ater,Algeria,25.8509,86.3319,8974,0
Bir el Djir,Algeria,-32.8494,27.4381,11192,admin
Bir Ghbalou,Algeria,26.116,86.355,15660,0
Bir Kasdali,Algeria,19.2967,73.0631,709665,0
Birine,Algeria,25.0894,85.3888,8735,0
Birkhadem,Algeria,37.65,14.8667,22918,0
Birtouta,Algeria,51.9,-1.15,30854,0
Biskra,Algeria,10.13,124.38,26666,0
Blida,Algeria,45.7891,-108.5526,131519,0
Blidet Amor,Algeria,-24.4002,150.5133,5758,0
Boghni,Algeria,13.5972,75.9717,29966,0
Bordj Bou Arreridj,Algeria,50.745,31.3869,10894,0
Bordj Bounaama,Algeria,48.0578,32.1581,10898,minor
Bordj el Bahri,Algeria,18.4539,-69.6064,142019,0
Bordj el Kiffan,Algeria,-9.6408,-36.22,21187,minor
Bordj Ghdir,Algeria,19.1056,-96.1078,144550,minor
Bordj Menaiel,Algeria,-8.7519,-67.3978,35447,minor
Bordj Mokhtar,Algeria,26.3752,-80.108,97980,0
Bordj Okhriss,Algeria,-22.1361,-48.5181,11810,0
Bordj Zemoura,Algeria,-17.1078,-43.815,48032,0
Bou Hadjar,Algeria,49.57,0.47,11635,0
Bou Hanifia el Hamamat,Algeria,31.9383,51.0533,11980,0
Bou Khadra,Algeria,44.8539,82.0514,235585,0
Bou Nouh,Algeria,51.2667,15.5667,37559,minor
Bou Noura,Algeria,10.7833,-0.85,66685,admin
Bou Saada,Algeria,45.6672,28.6128,17400,minor
Bou Sfer,Algeria,16.3881,119.8947,83979,0
Bouaiche,Algeria,4.3386,-76.1847,13954,minor
Bouati Mahmoud,Algeria,45.55,9.1167,36204,0
Bouchagroun,Algeria,44.4939,11.3428,387971,admin
Bouchegouf,Algeria,57.8833,34.05,21158,minor
Boudjima,Algeria,55.6833,84.4167,15629,0
Boudouaou,Algeria,23.67,87.72,80210,0
Boudouaou el Bahri,Algeria,52.439,156.3594,10,0
Boufarik,Algeria,43.1167,132.35,38042,0
Boufatis,Algeria,53.2304,-1.2875,11673,0
Bougaa,Algeria,53.0667,5.5333,9974,0
Bougara,Algeria,53.578,-2.429,285372,0
Bougtob,Algeria,-7.7958,-35.5869,37629,minor
Bouguirat,Algeria,-9.0739,-44.3589,28799,0
Bougzoul,Algeria,-4.42,-46.765,28599,minor
Bouhmama,Algeria,-28.6678,-50.4169,11202,0
Bouira,Algeria,-13.255,-43.4178,65550,0
Boukadir,Algeria,-23.135,-46.4653,25985,0
Boukhralfa,Algeria,-4.22,-45.0389,12212,minor
Boumahra Ahmed,Algeria,59.7794,5.2183,12132,0
Boumerdes,Algeria,13.339,74.8784,10365,0
Bourkika,Algeria,5.0292,119.7731,116118,admin
Bouskene,Algeria,55.983,-4.567,9050,0
Bouzeghaia,Algeria,-11.9658,-41.2669,15844,0
Bouzina,Algeria,-1.3628,-47.3069,12622,minor
Chaabat el Leham,Algeria,-28.8667,153.05,9968,0
Chabet el Ameur,Algeria,40.9,14.3,74021,0
Chahana,Algeria,45.55,8.7667,10801,0
Chahbounia,Algeria,44.3167,11.8,9527,0
Charef,Algeria,20.5222,-100.8122,378143,minor
